City Name,Max Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Latitude,Longitude
Cayenne,84.2,74,75,1.14,4.9333,-52.3333
Te Anau,40.69,92,31,1.45,-45.4167,167.7167
Kingman,68.0,33,1,4.61,35.1894,-114.053
Shenjiamen,63.48,80,0,16.78,29.9576,122.298
Jiaojiang,63.32,86,4,6.91,28.6803,121.4428
Lauro Muller,71.65,51,0,4.45,-28.3928,-49.3967
Camacha,68.0,52,20,16.11,33.0833,-16.3333
Hede,52.9,95,0,5.23,33.7681,120.2517
Nivala,37.99,39,37,11.01,63.9167,24.9667
Nekā,68.0,77,90,4.61,36.6508,53.299
St. George's,78.8,83,20,11.5,12.0564,-61.7485
Inhambane,80.42,59,0,10.49,-23.865,35.3833
Kemijärvi,30.43,62,100,9.84,66.7131,27.4306
Chepareria,76.01,41,95,5.06,1.3077,35.2039
Barabinsk,49.46,54,12,7.09,55.3571,78.357
Conway,64.0,72,1,5.75,35.0887,-92.4421
Batemans Bay,57.99,94,18,1.99,-35.7167,150.1833
Pegnitz,57.2,41,75,9.22,49.7564,11.545
Bitkine,105.06,6,2,9.51,11.9801,18.2138
General Roca,57.2,58,0,3.44,-39.0333,-67.5833
Kushmurun,56.52,37,62,14.81,52.4503,64.6311
Jinchang,68.18,15,0,6.93,38.4953,102.1739
Coyhaique,53.6,87,90,9.22,-45.5752,-72.0662
Zeya,33.64,81,100,4.32,53.75,127.2667
Kilrush,51.8,50,75,3.44,52.6397,-9.4833
Jasper,62.6,59,1,4.61,37.2001,-94.3502
Tatarsk,50.92,50,87,7.31,55.219,75.9828
Neckargemünd,48.99,87,100,1.01,49.3922,8.7942
São Francisco,84.07,46,92,8.08,-15.9486,-44.8644
Andra,32.83,86,100,14.18,62.5147,65.8878
Moerai,77.99,84,100,16.96,-22.4333,-151.3333
Wajima,54.48,82,3,22.62,37.4,136.9
Tilichiki,25.05,93,57,7.49,60.4667,166.1
Nador,60.8,82,20,8.05,35.174,-2.9287
Katherine,71.6,64,0,4.61,-14.4667,132.2667
Dhidhdhoo,84.79,71,23,5.84,6.8833,73.1
Bonthe,90.23,55,99,9.55,7.5264,-12.505
Debre Tabor,61.97,56,100,2.75,11.85,38.0167
Cabedelo,75.2,100,75,16.11,-6.9811,-34.8339
Safford,57.0,50,1,10.36,32.834,-109.7076
Karratha,83.01,44,0,7.14,-20.7377,116.8463
Boa Vista,84.2,70,75,5.75,2.8197,-60.6733
Kulhudhuffushi,84.7,71,16,5.93,6.6221,73.07
Kirakira,79.21,85,100,7.76,-10.4544,161.9205
Shirokovskiy,42.01,31,60,1.01,58.8424,57.7832
Meulaboh,79.93,83,100,4.07,4.1363,96.1285
Summerside,48.0,93,100,16.11,46.3959,-63.7876
Matagami,33.8,80,90,25.32,49.7502,-77.6328
Ipirá,82.51,55,71,12.5,-12.1583,-39.7372
Luau,76.77,73,96,2.21,-10.7073,22.2247
Hokitika,51.03,87,16,3.96,-42.7167,170.9667
Rome,46.99,87,90,16.11,43.2128,-75.4557
Dvinskoy Bereznik,45.32,38,100,5.99,62.8551,42.7072
Lengshuitan,70.38,67,70,5.06,26.4111,111.5956
Voloshka,42.08,71,99,5.61,61.3314,40.0858
Tazovsky,32.88,89,100,9.69,67.4667,78.7
Burley,60.8,41,1,3.13,42.5357,-113.7928
Tuatapere,42.01,91,56,3.0,-46.1333,167.6833
Fomboni,83.55,73,10,11.14,-12.28,43.7425
Cristalina,69.39,68,93,12.62,-16.7686,-47.6136
Bayanday,37.65,51,100,6.06,53.0661,105.5139
Ārvi,100.13,13,91,6.85,20.9833,78.2333
Avilés,55.99,62,40,6.91,43.5547,-5.9248
Mangai,77.05,86,100,3.96,-4.05,19.5333
Gushikawa,69.8,82,1,5.75,26.3544,127.8686
Kruisfontein,66.0,53,0,10.0,-34.0033,24.7314
Pontianak,77.0,94,40,3.44,-0.0333,109.3333
Olinda,82.4,69,75,16.11,-8.0089,-34.8553
Teknāf,80.47,80,8,2.44,20.8624,92.3058
Neryungri,24.24,98,100,2.75,56.6709,124.6491
Bo Phloi,82.99,91,100,5.19,14.3236,99.5161
Le Havre,50.0,66,90,9.22,49.4938,0.1077
Vágur,38.43,66,100,9.69,61.4732,-6.8119
Farsund,48.99,72,26,6.73,58.0948,6.8047
Hualmay,68.76,79,0,8.39,-11.0964,-77.6139
Yong’an,44.83,29,99,11.95,39.6957,113.6871
